Timestamp,What is your program?,What is your gender?,What is your AGE as of your last birthday?,What is your HEIGHT (to the nearest centimetre)?,What is your WEIGHT (to the nearest kilogram)?,What was your AVERAGE MONTHLY SALARY (to the nearest $100) at your last full time employment prior to enrolling at BCIT?,What MONTHLY SALARY (to the nearest $100) would you EXPECT if you were to seek employment immediately after obtaining your diploma?,"After graduation, for which one of the following TYPES OF ORGANIZATION would you most prefer to work?",Do you LIVE WITH YOUR PARENTS? ,What are your MONTHLY EXPENSES for FOOD and LODGING?,What MODE of TRANSPORT do you use most often to get to and from BCIT?,What is your COST per MONTH for TRANSPORTATION to and from BCIT?,What is your COST per MONTH for ENTERTAINMENT?,"Are you right-handed, Left-handed or ambidextrous?",What is your COST per MONTH for your CELL PHONE?,Do you SMOKE cigarettes? ,What is your foot size in INCHES?,How many alcoholic drinks do you have per week?,Do you have a tattoo?,"On average, how many hours per night do you sleep?",How much time in hours do you spend each week on social netorking sites?,How many hours per week do you spend studying/doing homework?,How many hours a week are you working (part-time or full-time employment) outside of BCIT?,Have you traveled outside of North America?,Do you pay entirely for your own tuition?,How many cups of coffee do you drink on average each day?,BMI
2019/09/09 7:17:55 pm GMT-7,BABI,Female,26,164.0,64.0,3300.0,4000.0,2. Small Company,No,1600.0,2. Public Transport,200.0,400.0,0. Right-handed,60.0,No,9,10,Yes,6,8,4,37.5,No,Yes,2.0,23.795359904818564
2019/09/09 7:18:59 pm GMT-7,BABI,Male,42,178.0,68.0,8000.0,,3. Non-profit or Government Agency,No,,3. Drive,50.0,200.0,0. Right-handed,50.0,No,9,0,No,7,2,2,40,Yes,Yes,2.0,21.461936624163616
2019/09/09 9:01:44 pm GMT-7,BABI,Female,27,155.0,46.0,3038.0,5000.0,1. Large Corporation,No,2500.0,3. Drive,200.0,200.0,0. Right-handed,75.0,No,8.75,1,No,8,10,8,40,Yes,No,1.0,19.14672216441207
2020/08/30 3:50:44 pm GMT-7,BABI,Prefer not to say,90,180.0,70.0,6000.0,7000.0,3. Non-profit or Government Agency,No,1500.0,5. Other,0.0,,0. Right-handed,30.0,No,10,4,No,7.5,7,10,32,Yes,No,2.0,21.604938271604937
2020/09/03 9:52:30 pm GMT-7,BABI,Female,24,150.0,45.0,3000.0,4000.0,1. Large Corporation,Yes,2000.0,3. Drive,250.0,,0. Right-handed,75.0,No,8.7,0,No,7,10,20,40,Yes,Yes,1.0,20.0
2020/09/05 11:38:19 am GMT-7,BABI,Female,30,165.0,60.0,2000.0,4000.0,3. Non-profit or Government Agency,No,500.0,1. Walk,20.0,100.0,0. Right-handed,70.0,No,i don't know,0,No,8,1,10,40,Yes,Yes,1.0,22.03856749311295
2020/09/08 5:46:31 pm GMT-7,BABI,Male,25,183.0,101.0,3000.0,5000.0,1. Large Corporation,Yes,200.0,2. Public Transport,0.0,30.0,0. Right-handed,90.0,No,11,5,Yes,7,10,none right now as i am not in classes,20,No,No,1.0,30.15915673803338
2020/09/11 11:58:11 am GMT-7,BABI,Male,25,181.0,70.0,3200.0,4000.0,2. Small Company,No,1850.0,5. Other,80.0,60.0,0. Right-handed,60.0,Yes,9,1,No,7,8,7,32,Yes,No,2.0,21.36686914318855
2020/09/12 4:04:48 am GMT-7,BABI,Male,23,185.0,90.0,0.0,5000.0,3. Non-profit or Government Agency,Yes,200.0,2. Public Transport,40.0,50.0,0. Right-handed,40.0,No,13,0,Yes,12,10,0,20,Yes,No,0.0,26.296566837107374
2020/09/13 9:07:54 pm GMT-7,BABI,Female,25,161.0,64.0,2900.0,5400.0,1. Large Corporation,Yes,900.0,2. Public Transport,150.0,10.0,0. Right-handed,50.0,No,9.3,0,No,8,10.5,35,0,Yes,Yes,0.0,24.690405462752206
2020/09/14 12:32:14 pm GMT-7,BABI,Male,23,195.0,,0.0,3500.0,2. Small Company,No,1800.0,5. Other,0.0,40.0,0. Right-handed,75.0,No,12.2,2,No,8,1,3,0,Yes,Yes,0.0,
2020/09/14 8:22:31 pm GMT-7,BABI,Male,25,178.0,80.0,0.0,4000.0,2. Small Company,No,900.0,2. Public Transport,145.0,20.0,1. Left-handed,80.0,No,10,2,No,7,10,20,40,Yes,Yes,2.0,25.24933720489837
2020/09/14 8:23:18 pm GMT-7,BABI,Male,24,170.0,83.0,2316.0,5000.0,2. Small Company,Yes,300.0,3. Drive,50.0,200.0,0. Right-handed,,No,10,0,Yes,5,8,40,40,Yes,Yes,3.0,28.719723183391007
2020/09/14 8:25:19 pm GMT-7,BABI,Female,40,165.0,62.0,4000.0,6000.0,1. Large Corporation,No,1500.0,2. Public Transport,90.0,,0. Right-handed,75.0,Yes,9,4,Yes,7,15,0,35,Yes,Yes,1.0,22.77318640955005
2020/09/14 8:26:52 pm GMT-7,BMGT,Male,25,175.0,80.0,2500.0,4000.0,2. Small Company,No,300.0,3. Drive,250.0,100.0,0. Right-handed,50.0,No,12.5,8,No,7,8- to much ,8 +,40,Yes,Yes,4.0,26.122448979591837
2020/09/14 8:27:02 pm GMT-7,BABI,Male,24,187.0,,0.0,,1. Large Corporation,Yes,85.0,3. Drive,20.0,40.0,0. Right-handed,75.0,No,10,0,No,8,4,2,5,Yes,Yes,1.0,
2020/09/14 8:27:31 pm GMT-7,BABI,Female,30,160.0,52.0,3500.0,5000.0,2. Small Company,Yes,300.0,2. Public Transport,150.0,50.0,0. Right-handed,50.0,No,9,0,No,7,7,8,40,Yes,Yes,1.0,20.312499999999996
2020/09/14 8:28:16 pm GMT-7,BABI,Male,26,183.0,86.0,3600.0,4000.0,1. Large Corporation,No,2000.0,5. Other,0.0,200.0,0. Right-handed,60.0,No,8,0,No,8,15,35,40,Yes,Yes,1.0,25.680074054167036
2020/09/14 8:28:48 pm GMT-7,BABI,Male,28,170.0,77.0,4200.0,4200.0,4. Other,No,2400.0,2. Public Transport,40.0,200.0,0. Right-handed,60.0,No,10,7,Yes,8,2,0,8,Yes,No,5.0,26.643598615916957
2020/09/14 8:30:07 pm GMT-7,BABI,Male,27,180.0,77.0,3750.0,4500.0,1. Large Corporation,No,2700.0,3. Drive,40.0,40.0,0. Right-handed,60.0,Yes,9,0,No,7.5,8,12,40,Yes,Yes,1.0,23.76543209876543
2020/09/14 8:31:26 pm GMT-7,BABI,Female,30,180.0,62.0,4500.0,5500.0,1. Large Corporation,No,2000.0,3. Drive,125.0,200.0,0. Right-handed,100.0,No,8,0,No,8,4,5,40,Yes,Yes,0.0,19.1358024691358
2020/09/14 8:31:47 pm GMT-7,BABI,Female,31,162.0,55.0,4000.0,5000.0,1. Large Corporation,No,1500.0,3. Drive,10.0,300.0,0. Right-handed,43.0,No,9.625,1,No,8,8,10,40,Yes,Yes,1.0,20.957171162932475
2020/09/14 8:32:14 pm GMT-7,BABI,Male,25,178.0,73.0,4000.0,5800.0,1. Large Corporation,Yes,400.0,3. Drive,,50.0,0. Right-handed,80.0,No,10,4,No,6,15,0,40,Yes,Yes,1.0,23.04002019946976
2020/09/14 8:35:40 pm GMT-7,BABI,Male,27,179.0,70.0,0.0,4000.0,1. Large Corporation,Yes,1500.0,5. Other,0.0,300.0,0. Right-handed,60.0,No,,10,No,7.5,0,4,12,Yes,No,0.0,21.847008520333322
2020/09/14 8:39:29 pm GMT-7,BABI,Female,33,164.0,54.0,3833.0,5000.0,1. Large Corporation,No,2000.0,2. Public Transport,30.0,100.0,0. Right-handed,60.0,No,8,0,No,8,10,10,40,No,Yes,1.0,20.077334919690664
2020/09/14 9:06:18 pm GMT-7,BMGT,Male,29,178.0,75.0,0.0,,1. Large Corporation,Yes,1800.0,3. Drive,100.0,350.0,0. Right-handed,60.0,No,9,1,No,6.5,40,40,40,Yes,Yes,0.0,23.671253629592222
2020/09/15 11:40:49 am GMT-7,BABI,Female,41,166.0,78.0,4234.0,6500.0,3. Non-profit or Government Agency,No,1805.0,2. Public Transport,134.0,55.0,0. Right-handed,95.0,Yes,9.8,3,No,7,0,6,35.5,Yes,No,1.0,28.305995064595734
2020/09/16 7:02:41 pm GMT-7,BABI,Male,29,165.0,54.0,1800.0,3800.0,2. Small Company,Yes,500.0,2. Public Transport,100.0,60.0,0. Right-handed,33.0,No,10,0,No,7,8,8,32,No,Yes,1.0,19.834710743801654
2020/09/19 9:04:56 pm GMT-7,BABI,Female,35,158.0,65.0,2000.0,5000.0,1. Large Corporation,No,2300.0,2. Public Transport,90.0,200.0,0. Right-handed,45.0,No,6.5,0-1,No,6-8hrs,2,5,24,Yes,No,0.0,26.037493991347535
2020/09/22 1:24:16 pm GMT-7,BABI,Female,33,164.0,54.0,4042.0,4041.0,2. Small Company,No,1000.0,3. Drive,100.0,300.0,0. Right-handed,65.0,No,7.5,0,No,7,10,10,40,Yes,Yes,1.0,20.077334919690664
2020/09/22 7:29:14 pm GMT-7,BABI,Male,25,180.0,79.0,3900.0,4500.0,1. Large Corporation,No,1600.0,3. Drive,80.0,,0. Right-handed,95.0,No,10,8,No,6.75,5,12,45,Yes,Yes,2.0,24.382716049382715
2020/09/23 9:31:22 pm GMT-7,BMGT,Male,24,170.0,73.0,2316.0,5000.0,2. Small Company,Yes,300.0,3. Drive,200.0,300.0,0. Right-handed,,No,10,0,Yes,5,1,40,40,Yes,Yes,4.0,25.25951557093426
2020/09/27 9:01:24 am GMT-7,BABI,Female,35,158.0,65.0,1500.0,3000.0,2. Small Company,No,2000.0,2. Public Transport,100.0,300.0,0. Right-handed,50.0,No,6inches,0-1,No,6-8hrs,2-3hours,4-5hours,24hours,Yes,Yes,0.0,26.037493991347535
2020/09/28 10:46:56 am GMT-7,BABI,Male,40,183.0,86.0,6000.0,6500.0,1. Large Corporation,No,3500.0,3. Drive,200.0,300.0,0. Right-handed,75.0,No,10,0,No,6,1,25,20,Yes,Yes,1.0,25.680074054167036
2021/09/07 7:48:18 pm GMT-7,BABI,Male,22,178.0,75.0,5500.0,7000.0,1. Large Corporation,No,2000.0,2. Public Transport,0.0,400.0,0. Right-handed,67.0,No,10,1,No,7.5,8,3,40,No,Yes,2.0,23.671253629592222
2021/09/08 1:06:36 pm GMT-7,BABI,Female,48,155.0,48.0,2950.0,5000.0,2. Small Company,No,1200.0,3. Drive,100.0,100.0,0. Right-handed,75.0,No,9.4,3,No,7,0,Not sure yet!,30-37.5,Yes,Yes,1.0,19.979188345473464
2021/09/08 8:55:52 pm GMT-7,BABI,Male,26,181.0,96.0,4800.0,5500.0,3. Non-profit or Government Agency,Yes,200.0,3. Drive,200.0,50.0,1. Left-handed,55.0,No,11,5,Yes,7,9,5,37.5,Yes,Yes,1.5,29.303134824944294
2021/09/09 3:31:49 pm GMT-7,BABI,Female,34,150.0,64.0,0.0,3000.0,2. Small Company,No,2500.0,2. Public Transport,175.0,60.0,0. Right-handed,50.0,No,5 and 1/2,0,No,8 hours,10 minutes,3 hours,0,Yes,No,1.0,28.444444444444443
2021/09/09 6:30:34 pm GMT-7,BABI,Male,24,172.0,,4300.0,6000.0,1. Large Corporation,Yes,1400.0,3. Drive,50.0,20.0,0. Right-handed,30.0,No,10,1,No,6,8,6,45,Yes,Yes,1.0,
2021/09/09 6:36:23 pm GMT-7,BABI,Male,28,175.0,,0.0,8000.0,3. Non-profit or Government Agency,Yes,1200.0,2. Public Transport,0.0,0.0,0. Right-handed,100.0,No,unknown,0,No,7,10,12,0,Yes,No,2.0,
2021/09/09 7:55:05 pm GMT-7,BABI,Male,27,181.0,80.0,5000.0,7000.0,2. Small Company,No,2500.0,2. Public Transport,35.0,25.0,0. Right-handed,110.0,No,11,3,No,9,10,5,37,Yes,Yes,0.0,24.41927902078691
2021/09/11 12:23:18 pm GMT-7,BABI,Male,28,168.0,67.0,0.0,6666.0,1. Large Corporation,No,2500.0,3. Drive,100.0,10.0,2. Ambidextrous,60.0,No,9.5,2,No,6,6,4,45,Yes,Yes,2.0,23.738662131519277
2021/09/11 7:33:08 pm GMT-7,BABI,Female,34,152.0,47.0,4600.0,5400.0,3. Non-profit or Government Agency,Yes,400.0,2. Public Transport,20.0,20.0,0. Right-handed,50.0,No,8.75,0,No,6,0.5,25,40,Yes,Yes,1.0,20.342797783933516
2021/09/13 2:42:47 pm GMT-7,BABI,Female,29,163.0,50.0,3500.0,4000.0,1. Large Corporation,No,2000.0,3. Drive,70.0,400.0,0. Right-handed,35.0,No,8.75,none,No,8,5,8,40,Yes,Yes,1.0,18.818924310286427
2021/09/14 6:52:17 am GMT-7,BABI,Female,27,170.0,65.0,4300.0,5300.0,2. Small Company,No,1200.0,2. Public Transport,20.0,200.0,0. Right-handed,60.0,No,10,2,Yes,7,7,3,40,Yes,No,2.0,22.49134948096886
2021/09/14 10:06:57 am GMT-7,BABI,Female,36,167.0,57.0,7000.0,,1. Large Corporation,No,3000.0,3. Drive,100.0,200.0,0. Right-handed,90.0,No,9,3,No,7.5,15,10,40,Yes,Yes,1.0,20.43816558499767
2021/09/14 4:54:38 pm GMT-7,BABI,Female,32,180.0,54.0,3400.0,4000.0,3. Non-profit or Government Agency,No,1200.0,3. Drive,60.0,40.0,0. Right-handed,75.0,Yes,6,5,Yes,7,1,8,35,Yes,No,1.0,16.666666666666664
2021/09/14 9:15:48 pm GMT-7,BABI,Female,23,165.0,50.0,1000.0,5000.0,4. Other,No,500.0,1. Walk,20.0,50.0,0. Right-handed,50.0,No,5,1,No,9,20,5,40,Yes,No,1.0,18.36547291092746
2021/09/16 1:54:34 am GMT-7,BABI,Male,25,173.0,66.0,4600.0,6600.0,1. Large Corporation,No,1300.0,3. Drive,70.0,150.0,0. Right-handed,45.0,No,8.5,0,No,8,3,20,40,Yes,Yes,1.0,22.052190183434128
2021/09/16 4:31:13 pm GMT-7,BABI,Male,22,182.0,75.0,,,2. Small Company,No,4000.0,3. Drive,200.0,,0. Right-handed,102.0,No,10.3,3,No,7,20,4,54,Yes,Yes,3.0,22.6421929718633
2021/09/16 5:36:50 pm GMT-7,BABI,Male,31,195.58,,5000.0,6500.0,1. Large Corporation,No,2500.0,2. Public Transport,22.0,100.0,0. Right-handed,90.0,No,14,3,No,7,21,14,40,Yes,Yes,1.0,
2021/09/16 7:55:58 pm GMT-7,BABI,Female,30,163.0,61.0,2800.0,5000.0,1. Large Corporation,No,1000.0,2. Public Transport,30.0,200.0,0. Right-handed,51.0,No,9.5,0,Yes,7,8,15,40,Yes,Yes,1.0,22.95908765854944
2022/01/07 1:55:59 pm GMT-8,BITMAN,Male,23,180.4,86.18,3800.0,4000.0,2. Small Company,Yes,200.0,3. Drive,250.0,200.0,0. Right-handed,50.0,No,132,2,No,8,2,2,Part-time,No,No,0.0,26.480941588291113
2022/01/09 10:12:56 pm GMT-8,ITMG,Prefer not to say,36,170.0,70.0,4500.0,5800.0,3. Non-profit or Government Agency,No,3000.0,5. Other,50.0,100.0,0. Right-handed,55.0,No,,7,No,8,15,14,5,Yes,Yes,2.0,24.221453287197235
2022/01/17 9:14:32 pm GMT-8,ITMG,Male,21,188.0,100.0,2200.0,4000.0,1. Large Corporation,Yes,800.0,3. Drive,150.0,200.0,0. Right-handed,80.0,No,11,2,Yes,8,6,20,20,Yes,No,0.0,28.293345405160707
2022/08/31 10:58:48 pm GMT-7,BABI,Female,25,166.0,65.0,2400.0,4000.0,1. Large Corporation,No,2000.0,2. Public Transport,30.0,100.0,0. Right-handed,75.0,No,9,0,No,7,7,7,37.5,Yes,Yes,1.0,23.588329220496444
2022/09/06 1:06:05 pm GMT-7,BABI,Male,26,,75.0,3300.0,5000.0,1. Large Corporation,No,800.0,3. Drive,100.0,100.0,0. Right-handed,45.0,No,8,0,No,7 hours,30 hours,28,16,Yes,No,1.0,
2022/09/07 1:31:18 pm GMT-7,BABI,Male,43,175.0,78.0,2950.0,5000.0,4. Other,No,2000.0,3. Drive,100.0,400.0,0. Right-handed,63.0,No,9.5,3,No,8,2,4 for reading,45,Yes,Yes,1.0,25.46938775510204
2022/09/07 6:13:32 pm GMT-7,BABI,Male,28,180.0,,4000.0,5000.0,1. Large Corporation,Yes,800.0,2. Public Transport,50.0,60.0,0. Right-handed,90.0,No,10,0,No,6,0.5,6,40,Yes,Yes,0.0,
2022/09/08 12:41:04 pm GMT-7,BABI,Male,47,178.0,75.0,5000.0,7000.0,3. Non-profit or Government Agency,No,4000.0,3. Drive,100.0,200.0,0. Right-handed,45.0,No,10,2,No,6,1,10,40,Yes,Yes,2.0,23.671253629592222
2022/09/08 1:57:13 pm GMT-7,BABI,Male,30,170.0,64.0,2950.0,5000.0,2. Small Company,No,1000.0,2. Public Transport,50.0,,0. Right-handed,50.0,No,9,0,No,5,35,35,37.5,Yes,Yes,0.0,22.145328719723185
2022/09/08 7:33:55 pm GMT-7,BABI,Female,29,170.0,58.0,3400.0,4000.0,1. Large Corporation,No,3000.0,2. Public Transport,50.0,100.0,0. Right-handed,100.0,No,10,8,Yes,7,8,20,10,Yes,No,2.0,20.06920415224914
2022/09/08 10:53:12 pm GMT-7,BABI,Female,30,157.0,68.0,1400.0,3000.0,1. Large Corporation,No,400.0,2. Public Transport,16.0,20.0,0. Right-handed,64.0,No,9.6,2,No,8,2,1,0,Yes,No,2.0,27.587326057852245
2022/09/09 9:39:32 am GMT-7,BABI,Female,37,172.72,56.36,4000.0,5000.0,1. Large Corporation,No,4000.0,2. Public Transport,50.0,20.0,0. Right-handed,55.0,No,9.25,3,No,6,3,3,40,Yes,Yes,1.0,18.892338822739926
2022/09/09 11:05:11 am GMT-7,BABI,Female,33,147.0,43.0,2950.0,8000.0,1. Large Corporation,No,2000.0,2. Public Transport,60.0,300.0,1. Left-handed,55.0,No,9,2,Yes,7,10+,5+,40+,Yes,No,1.0,19.899116109028647
2022/09/09 4:19:38 pm GMT-7,BABI,Female,38,157.0,44.0,6000.0,7000.0,3. Non-profit or Government Agency,No,2500.0,2. Public Transport,100.0,200.0,0. Right-handed,65.0,No,,0,No,6,7,10,40,Yes,Yes,2.0,17.85062274331616
2022/09/10 4:58:17 pm GMT-7,BABI,Male,25,175.0,77.0,5833.0,8600.0,2. Small Company,No,2700.0,2. Public Transport,15.0,200.0,0. Right-handed,47.0,No,10.5,2,Yes,7,7,10,50,Yes,Yes,1.0,25.142857142857142
2022/09/10 11:59:29 pm GMT-7,BABI,Female,26,162.0,68.0,1200.0,3750.0,2. Small Company,Yes,0.0,3. Drive,50.0,30.0,0. Right-handed,82.0,No,9.5,0,No,6,49,30,20,Yes,No,0.0,25.910684346898332
2022/09/11 6:29:33 pm GMT-7,BABI,Male,25,164.0,47.0,0.0,5500.0,2. Small Company,Yes,150.0,2. Public Transport,50.0,100.0,0. Right-handed,35.0,No,9.4,0,No,7,10,5,28,Yes,No,0.0,17.474717430101133
2022/09/11 7:56:29 pm GMT-7,BABI,Female,26,163.0,70.0,4300.0,5000.0,3. Non-profit or Government Agency,No,2400.0,2. Public Transport,30.0,150.0,1. Left-handed,62.0,No,9,1,Yes,7,4,10,45,Yes,No,0.0,26.346494034400994
2022/09/11 9:01:55 pm GMT-7,BABI,Male,32,168.0,74.0,4000.0,6500.0,1. Large Corporation,No,1200.0,2. Public Transport,40.0,350.0,0. Right-handed,40.0,No,9.5 inches,0,No,8,2,2,40,Yes,Yes,0.0,26.218820861678008
2022/09/12 9:17:49 am GMT-7,BABI,Male,63,170.0,70.0,2500.0,5000.0,1. Large Corporation,No,3500.0,2. Public Transport,100.0,100.0,0. Right-handed,10.0,Yes,10,0,No,5,0,10,40,Yes,Yes,1.0,24.221453287197235
2022/09/12 7:45:58 pm GMT-7,BABI,Male,27,180.0,87.0,4000.0,5000.0,1. Large Corporation,No,650.0,2. Public Transport,50.0,50.0,0. Right-handed,86.0,No,11,0,No,8,10,20,40,Yes,Yes,2.0,26.85185185185185
2022/09/13 7:23:09 pm GMT-7,BABI,Female,29,157.0,75.0,4410.0,5940.0,1. Large Corporation,No,2355.0,2. Public Transport,60.0,,0. Right-handed,50.0,No,8.5 shoe size,0,No,7,1,16 - 20 (I think),35,Yes,No,1.0,30.427197857925268
2022/09/14 8:42:12 pm GMT-7,BABI,Female,26,161.0,55.0,3100.0,,1. Large Corporation,No,1200.0,2. Public Transport,60.0,50.0,0. Right-handed,65.0,No,9,1,No,Too much,Too much,4-6,0,Yes,Yes,2.0,21.218317194552675
2022/09/14 9:11:02 pm GMT-7,BABI,Male,23,174.0,59.0,0.0,,1. Large Corporation,Yes,500.0,2. Public Transport,0.0,20.0,0. Right-handed,55.0,No,9.88,0,No,5,9,15,25,Yes,Yes,1.0,19.487382745408905
2022/09/15 5:21:39 pm GMT-7,BABI,Male,30,170.0,68.0,3500.0,6000.0,4. Other,No,1700.0,3. Drive,20.0,120.0,0. Right-handed,45.0,No,10,0,No,6,30,5,40,Yes,Yes,0.0,23.529411764705884
2023/01/16 11:00:45 am GMT-8,ITMG,Male,25,170.0,81.0,1200.0,6000.0,1. Large Corporation,No,2000.0,3. Drive,,,0. Right-handed,15.0,Yes,10,1,No,5,15,7,26,Yes,Yes,1.0,28.027681660899656
2023/01/16 9:57:12 pm GMT-8,ITMG,Male,28,178.0,82.0,2880.0,4000.0,2. Small Company,No,1000.0,2. Public Transport,40.0,100.0,0. Right-handed,36.0,No,10,0,No,7,4,5,20,Yes,Yes,0.0,25.88057063502083
2023/01/23 10:30:38 pm GMT-8,ITMG,Male,26,181.0,83.0,2600.0,4000.0,1. Large Corporation,No,1500.0,1. Walk,0.0,,0. Right-handed,55.0,Yes,,10,No,6.5,7,16,20,Yes,Yes,1.0,25.33500198406642
2023/03/08 8:36:17 pm GMT-8,ITMG,Female,28,158.0,49.0,3000.0,6500.0,1. Large Corporation,No,3700.0,2. Public Transport,0.0,,2. Ambidextrous,45.0,No,91,15,No,9,1,20,15,Yes,No,2.0,19.62826470116968
2023/09/07 12:59:17 pm GMT-7,BABI,Male,34,185.0,81.0,5000.0,6000.0,1. Large Corporation,No,1200.0,3. Drive,50.0,200.0,0. Right-handed,60.0,No,11,2,No,6,5,10,0,Yes,Yes,2.0,23.66691015339664
2023/09/08 3:09:23 pm GMT-7,BABI,Female,26,163.0,58.0,6000.0,8000.0,1. Large Corporation,No,3000.0,2. Public Transport,30.0,,0. Right-handed,50.0,No,9,0,No,7,3,12,40,Yes,Yes,1.0,21.829952199932254
2023/09/08 5:44:58 pm GMT-7,BABI,Female,26,168.0,52.0,2000.0,4000.0,1. Large Corporation,No,2000.0,2. Public Transport,50.0,200.0,0. Right-handed,47.0,No,9,none,No,8hr,5.5hr,10hr,none,Yes,Yes,1.0,18.42403628117914
2023/09/09 6:22:47 pm GMT-7,BABI,Female,27,154.0,60.0,4000.0,6000.0,1. Large Corporation,Yes,300.0,2. Public Transport,50.0,100.0,0. Right-handed,50.0,No,9,0,No,6,15,10,40,Yes,Yes,0.0,25.2993759487266
2023/09/10 3:03:39 pm GMT-7,BABI,Male,32,176.0,,2950.0,6200.0,1. Large Corporation,No,1600.0,3. Drive,150.0,250.0,0. Right-handed,63.0,No,10.83,5,Yes,7,8,5,37,Yes,Yes,2.0,
2023/09/11 9:58:25 pm GMT-7,BABI,Female,24,153.0,52.0,4000.0,5000.0,2. Small Company,Yes,1600.0,2. Public Transport,80.0,50.0,0. Right-handed,50.0,No,9,,No,7,10,10,50,Yes,Yes,1.0,22.21367849972233
2023/09/14 2:12:27 pm GMT-7,BABI,Female,35,165.0,53.0,6500.0,,1. Large Corporation,No,3000.0,2. Public Transport,100.0,300.0,1. Left-handed,80.0,No,9.5,1,No,7,10,15,40,Yes,Yes,2.0,19.467401285583104
2023/09/14 3:01:49 pm GMT-7,BABI,Male,36,179.0,70.0,6000.0,6500.0,3. Non-profit or Government Agency,No,3000.0,5. Other,50.0,100.0,0. Right-handed,50.0,No,12,0,No,8,1,10,20,Yes,Yes,0.0,21.847008520333322
2023/09/14 8:05:03 pm GMT-7,BABI,Male,23,175.0,63.0,4500.0,5000.0,1. Large Corporation,Yes,2500.0,3. Drive,200.0,300.0,0. Right-handed,50.0,No,10 inches,0,No,8,10,12,0,Yes,No,0.0,20.571428571428573
2023/09/17 10:11:22 am GMT-7,BABI,Male,26,180.0,94.0,0.0,4500.0,2. Small Company,No,300.0,2. Public Transport,20.0,20.0,0. Right-handed,40.0,Yes,9.5,1,Yes,8,35,7,12,No,Yes,2.0,29.012345679012345
