Timestamp,What is your program?,What is your gender?,What is your AGE as of your last birthday?,What is your HEIGHT (to the nearest centimetre)?,What is your WEIGHT (to the nearest kilogram)?,What was your AVERAGE MONTHLY SALARY (to the nearest $100) at your last full time employment prior to enrolling at BCIT?,What MONTHLY SALARY (to the nearest $100) would you EXPECT if you were to seek employment immediately after obtaining your diploma?,"After graduation, for which one of the following TYPES OF ORGANIZATION would you most prefer to work?",Do you LIVE WITH YOUR PARENTS? ,What are your MONTHLY EXPENSES for FOOD and LODGING?,What MODE of TRANSPORT do you use most often to get to and from BCIT?,What is your COST per MONTH for TRANSPORTATION to and from BCIT?,What is your COST per MONTH for ENTERTAINMENT?,"Are you right-handed, Left-handed or ambidextrous?",What is your COST per MONTH for your CELL PHONE?,Do you SMOKE cigarettes? ,What is your foot size in INCHES?,How many alcoholic drinks do you have per week?,Do you have a tattoo?,"On average, how many hours per night do you sleep?",How much time in hours do you spend each week on social netorking sites?,How many hours per week do you spend studying/doing homework?,How many hours a week are you working (part-time or full-time employment) outside of BCIT?,Have you traveled outside of North America?,Do you pay entirely for your own tuition?,How many cups of coffee do you drink on average each day?,BMI
2023/09/17 2:18:42 pm GMT-7,BABI,Female,36,165.0,65.0,1000.0,,1. Large Corporation,No,1400.0,2. Public Transport,0.0,0.0,1. Left-handed,50.0,No,9.8,0,No,8,2,4,0,Yes,Yes,2.0,23.875114784205696
2023/09/21 5:22:08 pm GMT-7,BABI,Male,34,174.0,75.0,,8000.0,2. Small Company,No,,2. Public Transport,40.0,,0. Right-handed,100.0,No,9.68,1,No,6,2,18,10,Yes,Yes,1.0,24.772096710265558
2023/10/16 11:51:36 pm GMT-7,BABI,Male,28,180.0,91.0,4500.0,7000.0,1. Large Corporation,No,2000.0,2. Public Transport,100.0,200.0,0. Right-handed,70.0,No,11.61,1,No,8,30,15,40,No,Yes,0.0,28.086419753086417
2024/01/09 4:52:33 pm GMT-8,ITMG,Shakespearian Cat  ,15,167.0,60.0,0.0,5000.0,1. Large Corporation,Yes,800.0,1. Walk,0.0,100.0,2. Ambidextrous,100.0,No,7,2,Yes,9,5,2.5,2,No,No,5.0,21.513858510523864
2024/01/11 8:48:31 pm GMT-8,BMGT,Male,27,175.0,70.0,4500.0,5000.0,2. Small Company,Yes,2500.0,3. Drive,300.0,100.0,0. Right-handed,66.0,No,9'11,0,No,6,10,7,0,Yes,Yes,1.0,22.857142857142858
2024/01/13 12:10:41 pm GMT-8,ITMG,Female,27,153.0,48.0,2000.0,4000.0,3. Non-profit or Government Agency,No,1300.0,2. Public Transport,0.0,150.0,0. Right-handed,60.0,No,9,0,No,7,20,40,20,Yes,No,1.0,20.504933999743688
2024/01/13 7:51:40 pm GMT-8,ITMG,Male,26,170.0,70.0,2950.0,5000.0,,,1200.0,,60.0,100.0,,25.0,No,10,0,No,5,2,50,0,Yes,Yes,0.0,24.221453287197235
2024/09/07 2:41:11 pm GMT-7,BABI,Male,23,185.0,81.0,3500.0,5500.0,1. Large Corporation,Yes,800.0,2. Public Transport,46.0,200.0,0. Right-handed,45.0,No,10.5,0,No,9,15,20,20,Yes,Yes,1.0,23.66691015339664
2024/09/07 3:32:24 pm GMT-7,BABI,Male,35,,68.0,3000.0,6000.0,3. Non-profit or Government Agency,No,1600.0,1. Walk,0.0,110.0,0. Right-handed,70.0,No,15,2,No,7,10,10,0,Yes,Yes,0.0,
2024/09/07 3:58:21 pm GMT-7,BABI,Male,28,171.0,72.0,3600.0,4000.0,3. Non-profit or Government Agency,Yes,800.0,2. Public Transport,270.0,100.0,0. Right-handed,40.0,No,10.4,1,Yes,6.5,5 ,12,37.5,Yes,Yes,0.0,24.622960911049557
2024/09/07 8:59:29 pm GMT-7,BABI,Female,35,167.0,77.0,0.0,5000.0,3. Non-profit or Government Agency,No,,2. Public Transport,60.0,80.0,0. Right-handed,,No,9,0,No,6,4,14,0,Yes,No,0.0,27.60945175517229
2024/09/08 3:03:26 pm GMT-7,BABI,Male,24,174.0,65.0,5500.0,6300.0,1. Large Corporation,No,2500.0,2. Public Transport,50.0,200.0,0. Right-handed,78.0,No,10,1,No,7,20,10,40,Yes,Yes,1.0,21.469150482230148
2024/09/08 3:35:34 pm GMT-7,BABI,Male,54,165.0,88.0,,8000.0,3. Non-profit or Government Agency,Yes,2000.0,3. Drive,20.0,250.0,0. Right-handed,90.0,No,10,0,No,6,1,5,40,Yes,No,2.0,32.323232323232325
2024/09/08 7:43:49 pm GMT-7,BABI,Female,25,168.0,68.0,5000.0,5500.0,2. Small Company,Yes,2000.0,3. Drive,120.0,70.0,0. Right-handed,65.0,No,9,0,No,7.5,7,6,37,Yes,No,2.0,24.092970521541954
2024/09/09 3:20:17 pm GMT-7,BABI,Male,35,178.0,82.0,5700.0,6500.0,3. Non-profit or Government Agency,No,2000.0,2. Public Transport,100.0,,0. Right-handed,100.0,No,10.6,2,No,7,1.5,20,25,Yes,No,1.0,25.88057063502083
2024/09/09 10:28:51 pm GMT-7,BABI,Male,33,178.0,80.0,5600.0,7000.0,1. Large Corporation,Yes,1500.0,2. Public Transport,40.0,100.0,0. Right-handed,45.0,No,10,1,No,6,20,7,40,Yes,Yes,0.0,25.24933720489837
2024/09/10 8:09:11 am GMT-7,BABI,Female,46,168.0,55.0,7200.0,6000.0,1. Large Corporation,No,1500.0,5. Other,80.0,300.0,1. Left-handed,63.0,No,9.5,3,No,8,1,6,18,Yes,Yes,3.0,19.48696145124717
2024/09/11 4:21:54 pm GMT-7,BABI,Female,28,165.0,47.0,4200.0,6000.0,1. Large Corporation,No,1200.0,2. Public Transport,60.0,90.0,0. Right-handed,40.0,No,10,0,Yes,6,20,20,0,Yes,Yes,0.0,17.263544536271812
2024/09/11 6:51:37 pm GMT-7,BABI,Male,25,178.0,80.0,4000.0,5000.0,1. Large Corporation,No,2500.0,2. Public Transport,60.0,50.0,0. Right-handed,42.0,No,,0,No,7,12,20,0,Yes,No,1.0,25.24933720489837
2024/09/14 5:20:17 pm GMT-7,BABI,Male,23,182.0,79.0,0.0,2500.0,3. Non-profit or Government Agency,Yes,1000.0,3. Drive,50.0,100.0,0. Right-handed,45.0,No,10.24,0,No,7.5,3,12,0,Yes,No,1.0,23.849776597029344
2024/09/15 8:11:26 am GMT-7,BABI,Female,27,180.0,68.0,0.0,,3. Non-profit or Government Agency,No,1200.0,2. Public Transport,8.0,9.0,0. Right-handed,1.0,No,5,0,No,7,3,9,0,Yes,Yes,1.0,20.98765432098765
2025/01/07 1:06:40 pm GMT-8,,Female,21,168.0,70.0,0.0,5000.0,3. Non-profit or Government Agency,No,1000.0,2. Public Transport,0.0,50.0,0. Right-handed,45.0,No,10 inches,0,No,6,12,20,24,Yes,No,1.0,24.801587301587304
2025/01/07 1:43:48 pm GMT-8,ITMG,Male,25,180.0,80.0,3500.0,5000.0,1. Large Corporation,No,1500.0,1. Walk,0.0,10.0,0. Right-handed,50.0,No,10,0,No,6,1,10,1,Yes,Yes,1.5,24.691358024691358
2025/01/07 1:44:24 pm GMT-8,ITMG,Male,33,170.0,72.0,3000.0,5000.0,1. Large Corporation,No,,3. Drive,150.0,100.0,0. Right-handed,40.0,No,,1 bottle of whiskey ,No,6,7,20,6,Yes,Yes,3.0,24.913494809688583
2025/01/07 1:50:36 pm GMT-8,ITMG,Female,41,157.48,69.0,6200.0,6500.0,3. Non-profit or Government Agency,No,3630.0,2. Public Transport,250.0,250.0,0. Right-handed,68.0,No,9.5,0,No,6,15,35,20,Yes,Yes,2.0,27.822636290433874
2025/01/07 2:18:24 pm GMT-8,ITMG,Male,28,175.0,73.0,,,1. Large Corporation,No,300.0,3. Drive,55.0,100.0,1. Left-handed,55.0,No,10.5,1,Yes,6,7,8,12,Yes,Yes,1.0,23.836734693877553
2025/01/07 2:38:37 pm GMT-8,ITMG,Male,22,171.0,67.0,,6000.0,4. Other,No,1500.0,2. Public Transport,0.0,150.0,0. Right-handed,40.0,No,26,0,No,6-7,5,10,0,Yes,Yes,1.0,22.91303307000445
2025/01/09 11:12:12 am GMT-8,BMGT,Female,27,168.0,68.0,1400.0,4000.0,1. Large Corporation,No,1200.0,2. Public Transport,150.0,10.0,0. Right-handed,30.0,No,9.5,1,No,5,2,10,15,Yes,No,1.0,24.092970521541954
2025/01/09 5:36:09 pm GMT-8,BABI,Male,28,180.0,78.0,0.0,4000.0,1. Large Corporation,No,1200.0,2. Public Transport,50.0,200.0,0. Right-handed,60.0,No,,2,No,7,10,10,20,Yes,No,1.0,24.074074074074073
2025/01/09 5:36:20 pm GMT-8,BABI,Female,28,158.0,66.0,0.0,5000.0,3. Non-profit or Government Agency,No,1200.0,2. Public Transport,8.0,40.0,0. Right-handed,40.0,No,,0,No,8,3,18,0,Yes,Yes,0.0,26.43807082198365
2025/01/09 5:36:25 pm GMT-8,BABI,Female,35,167.0,77.0,0.0,5000.0,3. Non-profit or Government Agency,No,,2. Public Transport,100.0,400.0,0. Right-handed,,No,9,0,No,6,14,28,0,Yes,Yes,0.0,27.60945175517229
2025/01/09 5:36:31 pm GMT-8,BABI,Female,28,165.0,47.0,2950.0,2000.0,1. Large Corporation,No,1200.0,2. Public Transport,0.0,80.0,0. Right-handed,34.0,No,9.5,0,Yes,6.5,14,14,0,Yes,No,0.0,17.263544536271812
2025/01/09 5:36:37 pm GMT-8,BABI,Female,26,152.4,110.0,0.0,4000.0,1. Large Corporation,Yes,100.0,2. Public Transport,0.0,50.0,,60.0,No,15.24,0,No,6,6,5,12,Yes,No,0.0,47.361205833522774
2025/01/09 5:36:48 pm GMT-8,BABI,Male,35,,68.0,6000.0,5000.0,3. Non-profit or Government Agency,No,2000.0,1. Walk,40.0,60.0,0. Right-handed,70.0,No,10,1,Yes,8,10,10,0,Yes,Yes,1.0,
2025/01/09 5:36:58 pm GMT-8,BABI,Female,26,,70.3,4800.0,5800.0,2. Small Company,Yes,1800.0,3. Drive,200.0,400.0,0. Right-handed,70.0,No,6,0,No,8,12,8,37.5,Yes,No,2.0,
2025/01/09 5:36:58 pm GMT-8,BABI,,25,178.0,78.0,0.0,3500.0,1. Large Corporation,No,1000.0,2. Public Transport,35.0,50.0,0. Right-handed,40.0,No,,0,No,7,12,25,15,Yes,No,1.0,24.61810377477591
2025/01/09 5:37:02 pm GMT-8,BABI,Male,23,179.0,71.0,0.0,4200.0,2. Small Company,Yes,0.0,2. Public Transport,20.0,0.0,1. Left-handed,0.0,No,11,0,No,6.5,35,16,0,Yes,No,0.0,22.15910864205237
2025/01/09 5:37:16 pm GMT-8,BABI,Female,28,165.0,61.0,2950.0,5000.0,3. Non-profit or Government Agency,Yes,200.0,2. Public Transport,60.0,0.0,0. Right-handed,30.0,No,No idea,0,No,6,0,2,30,Yes,Yes,0.0,22.4058769513315
2025/01/09 5:37:27 pm GMT-8,BABI,Male,36,178.0,82.0,5700.0,6500.0,3. Non-profit or Government Agency,No,2000.0,2. Public Transport,200.0,200.0,0. Right-handed,80.0,No,10,2,No,8,4,15,20,Yes,Yes,2.0,25.88057063502083
2025/01/09 5:37:43 pm GMT-8,BABI,Male,32,173.0,93.0,4400.0,7400.0,3. Non-profit or Government Agency,No,3200.0,3. Drive,80.0,400.0,0. Right-handed,90.0,Yes,10,4,No,6,12,4,40,Yes,Yes,2.0,31.073540713020815
2025/01/09 5:38:01 pm GMT-8,BABI,Male,29,171.0,73.0,3600.0,5000.0,1. Large Corporation,Yes,500.0,2. Public Transport,200.0,100.0,0. Right-handed,40.0,No,9,0,Yes,6,5,8,37.5,Yes,Yes,0.5,24.96494647925858
2025/01/09 5:38:40 pm GMT-8,BABI,Female,21,178.0,70.0,3000.0,5000.0,1. Large Corporation,No,2500.0,3. Drive,100.0,100.0,2. Ambidextrous,100.0,No,12,8,No,7,10,8,0,Yes,Yes,3.0,22.093170054286073
2025/01/09 5:38:52 pm GMT-8,GCBA,Male,33,179.0,85.0,0.0,6500.0,3. Non-profit or Government Agency,Yes,1200.0,2. Public Transport,40.0,200.0,0. Right-handed,35.0,No,9,0,No,6,25,8,0,Yes,Yes,0.0,26.528510346119035
2025/01/09 5:38:57 pm GMT-8,BABI,Male,24,172.0,53.0,5500.0,5500.0,1. Large Corporation,No,3000.0,2. Public Transport,40.0,250.0,0. Right-handed,78.0,No,10.3,1,No,7,30,15,40,Yes,Yes,1.0,17.915089237425637
2025/01/09 5:38:59 pm GMT-8,BABI,Male,24,187.0,81.0,2500.0,5000.0,1. Large Corporation,No,1500.0,2. Public Transport,50.0,200.0,0. Right-handed,40.0,No,11,0,No,10,10,15,30,Yes,Yes,1.0,23.163373273470786
2025/01/09 5:39:12 pm GMT-8,BABI,Male,30,175.0,65.0,5000.0,6000.0,1. Large Corporation,No,2000.0,2. Public Transport,45.0,100.0,0. Right-handed,30.0,No,10,0,No,8,10,15,40,Yes,Yes,2.0,21.224489795918366
2025/01/09 5:40:13 pm GMT-8,BABI,Male,33,167.0,64.0,3000.0,4500.0,2. Small Company,No,1500.0,2. Public Transport,60.0,50.0,0. Right-handed,115.0,No,9.5,4,No,7,25,20,38,Yes,Yes,1.0,22.948115744558788
2025/01/09 5:40:31 pm GMT-8,BABI,Male,23,182.0,79.0,0.0,2000.0,3. Non-profit or Government Agency,No,1000.0,3. Drive,150.0,100.0,0. Right-handed,45.0,No,11,0,No,7,10,14,0,Yes,No,1.0,23.849776597029344
2025/01/09 5:41:38 pm GMT-8,BABI,Female,47,165.0,54.0,0.0,6700.0,4. Other,No,3000.0,2. Public Transport,200.0,,1. Left-handed,63.0,No,9.5,6,No,8,1,16,20,Yes,Yes,3.0,19.834710743801654
2025/01/09 5:44:20 pm GMT-8,BABI,Male,57,164.0,65.0,,6000.0,2. Small Company,No,,5. Other,40.0,50.0,0. Right-handed,65.0,No,8,1,No,8,1,30,0,Yes,Yes,0.0,24.167162403331353
2025/01/09 7:37:17 pm GMT-8,BABI,Male,57,164.0,65.0,,6000.0,2. Small Company,No,,5. Other,40.0,20.0,0. Right-handed,65.0,No,8,1,No,8,1,30,0,Yes,Yes,0.0,24.167162403331353
2025/01/10 9:04:37 pm GMT-8,ITMG,Male,59,170.0,80.0,3500.0,6500.0,1. Large Corporation,No,,2. Public Transport,50.0,150.0,0. Right-handed,80.0,No,10,0,No,6,0,20,0,Yes,Yes,2.0,27.68166089965398
2025/01/12 6:33:45 pm GMT-8,ITMG (RETAKING COURSES FOR GRADUATION),Male,22,167.0,70.0,0.0,5000.0,2. Small Company,Yes,1200.0,2. Public Transport,60.0,100.0,1. Left-handed,60.0,No,,0,No,7,,,,Yes,No,0.0,25.099501595611173
2025/01/14 8:44:06 am GMT-8,BABI,Prefer not to say,26,175.0,80.0,2950.0,5300.0,1. Large Corporation,No,3000.0,2. Public Transport,,10.0,0. Right-handed,35.0,No,9.4,0,No,10,10,84,44,Yes,Yes,0.0,26.122448979591837
2025/01/16 2:34:47 pm GMT-8,MTKG,Female,26,152.4,54.54,3100.0,3300.0,3. Non-profit or Government Agency,No,1200.0,3. Drive,300.0,10.0,0. Right-handed,30.0,No,9,4,No,6.5,10,10,6,Yes,Yes,2.0,23.482546965093928
2025/01/16 2:38:44 pm GMT-8,MKTG,Male,25,177.0,68.0,2950.0,5000.0,1. Large Corporation,Yes,1200.0,3. Drive,300.0,,0. Right-handed,50.0,Yes,10.2,5-7,No,6,6,8,24-28,Yes,Yes,1.0,21.705129432793896
2025/01/16 2:44:32 pm GMT-8,MKTG,Female,21,165.0,50.0,,3000.0,2. Small Company,No,2200.0,2. Public Transport,0.0,300.0,0. Right-handed,80.0,No,9,2,No,7,20,30,0,Yes,No,0.0,18.36547291092746
2025/01/16 2:45:57 pm GMT-8,MKTG,Female,20,158.0,32.0,2400.0,3000.0,1. Large Corporation,Yes,1200.0,3. Drive,240.0,300.0,0. Right-handed,0.0,No,I don't know,One,Yes,7,14 hours,7,No longer working,Yes,No,1.0,12.81845858035571
2025/01/16 2:46:48 pm GMT-8,BBA,Male,22,176.784,74.0,0.0,3000.0,1. Large Corporation,No,500.0,2. Public Transport,0.0,100.0,1. Left-handed,86.0,No,6,1,No,7,11,5,24,Yes,No,4.0,23.67804312831509
2025/01/16 2:49:50 pm GMT-8,MARKETING MANAGEMENT,Female,22,165.1,48.5,0.0,,1. Large Corporation,No,2950.0,3. Drive,100.0,100.0,0. Right-handed,0.0,Yes,no,.1,No,7,20-60,5-10,0,Yes,No,1.5,17.79293499415401
2025/01/16 2:49:53 pm GMT-8,MKTG,Female,20,168.0,74.84,0.0,5000.0,1. Large Corporation,Yes,800.0,3. Drive,160.0,40.0,0. Right-handed,90.0,No,9.69 inches long,0,Yes,11 hours,14 hours,17 hours,7 hours,Yes,No,0.0,26.51643990929706
2025/01/16 2:53:53 pm GMT-8,MKTG,Male,18,170.0,70.0,0.0,4000.0,2. Small Company,Yes,0.0,3. Drive,190.0,0.0,0. Right-handed,0.0,No,12,0,No,8,10,15,8-13,No,No,0.0,24.221453287197235
2025/01/16 2:54:04 pm GMT-8,MKTG,Female,19,164.0,70.0,2950.0,4000.0,1. Large Corporation,Yes,1200.0,2. Public Transport,60.0,100.0,0. Right-handed,36.0,No,I have no idea ,none ,No,4-6 hours ,21 hours per week ,A LOT ,0,Yes,Yes,1.0,26.026174895895306
2025/01/16 2:57:44 pm GMT-8,MKTG2J,Male,20,165.0,77.0,0.0,,1. Large Corporation,Yes,0.0,3. Drive,0.0,200.0,2. Ambidextrous,40.0,Yes,Idk,0,No,7,12,8,0,Yes,Yes,1.0,28.282828282828287
2025/01/16 3:04:55 pm GMT-8,EXCHANGE,Male,23,183.0,71.0,7000.0,6500.0,2. Small Company,Yes,900.0,1. Walk,0.0,50.0,,55.0,No,20,,No,6,21,20,0,Yes,No,0.0,21.20099137030069
2025/01/16 3:44:40 pm GMT-8,MKTG,Female,19,168.0,63.0,2950.0,4800.0,1. Large Corporation,Yes,100.0,2. Public Transport,0.0,400.0,0. Right-handed,0.0,No,9.6,1,No,7,6,8,0,No,No,1.0,22.321428571428577
2025/01/16 3:52:11 pm GMT-8,MKTG,Female,21,159.0,45.0,0.0,5000.0,2. Small Company,No,1200.0,2. Public Transport,60.0,100.0,0. Right-handed,60.0,No,,0,No,7,,,0,Yes,No,0.0,17.799928800284796
2025/01/16 4:41:58 pm GMT-8,MKTG,Female,27,164.0,50.0,0.0,5000.0,3. Non-profit or Government Agency,No,3000.0,3. Drive,150.0,100.0,0. Right-handed,50.0,Yes,8.75,much as I can,No,9,3hours,10hours,0,Yes,Yes,1.0,18.590124925639504
2025/01/16 4:42:32 pm GMT-8,BMGT,Male,21,178.0,66.0,0.0,3300.0,2. Small Company,Yes,3900.0,3. Drive,,0.0,0. Right-handed,80.0,No,11.25,0,No,8,0,40,0,Yes,No,0.0,20.830703194041156
2025/01/16 4:47:45 pm GMT-8,BABI,Female,24,161.0,57.0,0.0,4000.0,1. Large Corporation,Yes,200.0,2. Public Transport,0.0,20.0,0. Right-handed,0.0,No,8,1,No,8,30,25,8,Yes,Yes,0.0,21.98989236526368
2025/01/16 5:03:30 pm GMT-8,MMGT,Female,29,162.0,70.0,3500.0,2600.0,1. Large Corporation,No,1500.0,2. Public Transport,50.0,150.0,0. Right-handed,69.0,No,9.25,0-2,Yes,6,21,35,0,Yes,Yes,0.0,26.672763298277697
2025/01/16 6:46:46 pm GMT-8,BMGT,Female,23,,,4000.0,5000.0,1. Large Corporation,No,1200.0,3. Drive,60.0,100.0,0. Right-handed,48.0,No,,0,Yes,7.5,,,,Yes,No,1.0,
2025/01/16 7:31:42 pm GMT-8,BABI,Male,23,185.0,93.0,3700.0,3200.0,2. Small Company,Yes,60.0,2. Public Transport,90.0,75.0,0. Right-handed,50.0,No,9,1,No,7,5,10,8,Yes,Yes,0.0,27.173119065010955
2025/01/16 8:37:34 pm GMT-8,MKTG,Male,24,170.0,81.0,5500.0,3500.0,1. Large Corporation,Yes,700.0,3. Drive,,150.0,1. Left-handed,117.0,No,10.5,0-2,No,7,10,18,8,Yes,No,1.0,28.027681660899656
2025/01/16 11:11:41 pm GMT-8,MKTG,Male,23,170.0,57.0,3000.0,5000.0,1. Large Corporation,Yes,750.0,2. Public Transport,50.0,30.0,0. Right-handed,34.0,No,10,0,No,6,32,8,30,Yes,Yes,1.0,19.723183391003463
2025/01/17 6:25:04 am GMT-8,MKTG,Male,26,168.0,80.0,0.0,,2. Small Company,No,4000.0,2. Public Transport,50.0,100.0,0. Right-handed,30.0,No,9,2,No,7,5,6,0,Yes,No,1.0,28.344671201814062
2025/01/17 8:47:57 am GMT-8,BABI,Male,21,183.0,71.0,4000.0,5000.0,1. Large Corporation,Yes,100.0,3. Drive,100.0,30.0,0. Right-handed,0.0,No,10.5 inches,0,No,7.5,20,4,5,Yes,No,0.5,21.20099137030069
2025/01/17 10:41:44 am GMT-8,OMPT,Male,22,167.64,79.55,2950.0,5000.0,1. Large Corporation,Yes,1200.0,2. Public Transport,5.0,40.0,0. Right-handed,80.0,No,i forgot,depends,Yes,lucky if i can 6-7 but mainly 4-5,uhhh I know more than half my day,low 2 hrs high 4-5 hrs,10 hrs currently,Yes,Yes,1.0,28.306415657826726
2025/01/17 10:51:34 am GMT-8,BMGT,Male,20,178.0,84.0,3000.0,6000.0,1. Large Corporation,Yes,300.0,3. Drive,150.0,100.0,0. Right-handed,70.0,Yes,11,0,No,7,10,15,16,Yes,No,1.0,26.511804065143288
2025/01/17 12:00:17 pm GMT-8,BBAD,Female,22,172.0,57.0,0.0,5000.0,1. Large Corporation,No,1200.0,2. Public Transport,0.0,200.0,0. Right-handed,50.0,No,9 inches,4,No,7,15,10,12,Yes,Yes,2.0,19.2671714440238
2025/01/17 1:05:28 pm GMT-8,BABI,Male,20,172.0,64.0,0.0,5000.0,1. Large Corporation,No,1400.0,2. Public Transport,0.0,300.0,0. Right-handed,39.0,No,10.25,0,Yes,8,7,3,15,Yes,No,1.0,21.63331530557058
2025/01/17 4:50:38 pm GMT-8,ITMG,Female,26,170.0,60.0,2500.0,2000.0,1. Large Corporation,Yes,2500.0,3. Drive,300.0,20.0,0. Right-handed,50.0,No,No idea,0,No,8,30,10,20,Yes,No,0.0,20.761245674740486
2025/01/18 12:53:57 pm GMT-8,BMGT,Male,27,173.0,72.0,6000.0,6000.0,4. Other,No,2200.0,5. Other,180.0,50.0,0. Right-handed,50.0,No,10,0,Yes,5,2,10,20,Yes,Yes,1.0,24.0569347455645
2025/01/18 11:44:28 pm GMT-8,BABI,Female,29,165.0,62.0,3200.0,5000.0,1. Large Corporation,Yes,150.0,2. Public Transport,0.0,300.0,0. Right-handed,25.0,No,,2,No,7,14,24,25,Yes,No,0.5,22.77318640955005
2025/01/19 4:47:16 pm GMT-8,BMGT,Male,22,188.0,72.0,3200.0,5000.0,2. Small Company,Yes,300.0,3. Drive,100.0,100.0,0. Right-handed,0.0,No,11,8,No,8,24,10,0,Yes,No,1.0,20.37120869171571
2025/01/19 7:41:28 pm GMT-8,BBAD,Female,24,165.1,,2000.0,5100.0,3. Non-profit or Government Agency,Yes,300.0,3. Drive,300.0,100.0,1. Left-handed,100.0,No,9.5,0-1,No,6,50,20,20,Yes,Yes,1.0,
2025/01/19 8:09:31 pm GMT-8,BABI,Female,21,167.0,,0.0,5000.0,3. Non-profit or Government Agency,No,1000.0,2. Public Transport,0.0,20.0,0. Right-handed,45.0,No,9,0,No,6,5,10,22,Yes,No,1.0,
2025/01/19 10:24:34 pm GMT-8,BMGT,Female,19,182.0,55.0,0.0,5500.0,2. Small Company,Yes,1000.0,2. Public Transport,110.0,200.0,0. Right-handed,35.0,No,9.9,average 0-2,No,5,12,over 30,about 24,Yes,No,1.0,16.604274846033086
2025/01/20 10:55:29 am GMT-8,BMGT,Female,22,157.0,55.0,0.0,2000.0,1. Large Corporation,Yes,750.0,3. Drive,,200.0,0. Right-handed,100.0,No,,1,Yes,8,3,4,16,Yes,Yes,2.0,22.313278429145196
2025/01/20 11:33:05 am GMT-8,COMP,Male,21,169.0,,0.0,,1. Large Corporation,Yes,300.0,3. Drive,,30.0,0. Right-handed,70.0,No,10.3,0,No,7,40,,0,Yes,No,0.0,
2025/01/20 10:43:04 pm GMT-8,ITMG,Female,23,157.0,73.0,0.0,5447.0,2. Small Company,Yes,300.0,2. Public Transport,68.0,12.0,0. Right-handed,0.0,No,8.5,1,Yes,6,4,21,0,Yes,Yes,0.0,29.61580591504726
2025/01/23 9:33:54 am GMT-8,MKTG,Female,18,170.0,,0.0,1040.0,2. Small Company,No,1350.0,2. Public Transport,47.0,20.0,0. Right-handed,29.0,No,12.2,0,No,5,21,35,15,Yes,Yes,2.0,
